hidden_layers,activation_fn,learning_rate,batch_size,epochs,test_loss,test_accuracy
[4],ReLU,10.0,16,1,1.6130151748657227,0.6850000023841858
[4],ReLU,10.0,16,10,0.6801367402076721,0.38749998807907104
[4],ReLU,10.0,16,25,0.6279217600822449,0.6850000023841858
[4],ReLU,10.0,16,50,3.634805917739868,0.6850000023841858
[4],ReLU,10.0,16,100,0.6635217070579529,0.6850000023841858
[4],ReLU,10.0,16,250,50.87331008911133,0.3174999952316284
[4],ReLU,10.0,32,1,0.9540337324142456,0.3149999976158142
[4],ReLU,10.0,32,10,0.7881346344947815,0.6850000023841858
[4],ReLU,10.0,32,25,0.626041054725647,0.6850000023841858
[4],ReLU,10.0,32,50,0.7775407433509827,0.6850000023841858
[4],ReLU,10.0,32,100,1.054092526435852,0.3474999964237213
[4],ReLU,10.0,32,250,0.8709238171577454,0.3425000011920929
[4],ReLU,10.0,64,1,1.866053819656372,0.35749998688697815
[4],ReLU,10.0,64,10,0.6486350297927856,0.6850000023841858
[4],ReLU,10.0,64,25,0.6199408173561096,0.6850000023841858
[4],ReLU,10.0,64,50,0.8877462148666382,0.6850000023841858
[4],ReLU,10.0,64,100,0.7235696911811829,0.6899999976158142
[4],ReLU,10.0,64,250,0.750762403011322,0.6875
[4],ReLU,10.0,128,1,1.2073973417282104,0.33250001072883606
[4],ReLU,10.0,128,10,0.8715143799781799,0.4074999988079071
[4],ReLU,10.0,128,25,0.7614163756370544,0.36500000953674316
[4],ReLU,10.0,128,50,0.6194833517074585,0.6875
[4],ReLU,10.0,128,100,0.6377565860748291,0.6850000023841858
[4],ReLU,10.0,128,250,2.9903430938720703,0.6850000023841858
[4],ReLU,10.0,256,1,9.198639869689941,0.6850000023841858
[4],ReLU,10.0,256,10,0.648366391658783,0.6850000023841858
[4],ReLU,10.0,256,25,0.7376101613044739,0.3425000011920929
[4],ReLU,10.0,256,50,0.6134153604507446,0.6924999952316284
[4],ReLU,10.0,256,100,1.0241588354110718,0.6850000023841858
[4],ReLU,10.0,256,250,0.6309568285942078,0.6875
[4],ReLU,10.0,512,1,59.43879318237305,0.7400000095367432
[4],ReLU,10.0,512,10,2.3950278759002686,0.4025000035762787
[4],ReLU,10.0,512,25,0.6065593957901001,0.6850000023841858
[4],ReLU,10.0,512,50,2.5518579483032227,0.6899999976158142
[4],ReLU,10.0,512,100,0.7218673229217529,0.41499999165534973
[4],ReLU,10.0,512,250,1.080245852470398,0.6850000023841858
[4],ReLU,1.0,16,1,0.816052258014679,0.6850000023841858
[4],ReLU,1.0,16,10,0.6545775532722473,0.6850000023841858
[4],ReLU,1.0,16,25,0.6199612617492676,0.6850000023841858
[4],ReLU,1.0,16,50,0.6697599291801453,0.6850000023841858
[4],ReLU,1.0,16,100,0.6218248605728149,0.6850000023841858
